Sample ID,Index.AO,all_data,Latitude,Longitude,Depth,Date.Collection,PlotCreated,Type,Dry.weight,ResinP,pH,Total.C,Total.N,Total.P,DOC,DON,DOC_DON,NH4,NO3,TDN,DIN,Al,Ca,Fe,K,Mg,Mn,P,Zn,Ca_Mg,S,MAT,MAP,Aridity_Index,NPP,OrganicMatter
P18_0404,580,yes,9.14346,-79.8825,0-10 cm,23-Oct-17,P18,plot,0.6,5.59,6.06,3.77,0.41,396.8534207,65.49,6.092269929,10.7,0.75991035,0.242819721,7.095,1.002730071,804.9,2743.9,190.8,60.5,531.5,117.5,2.8,4.3,3.1,7.2,26.6,2548,1.82,0.54,16.97693458
P19_0202,726,yes,9.19917,-79.7741,0-10 cm,6-Dec-17,P19,plot,0.57,0.25,5.71,4.44,0.4,232,579,62.4,9.3,2.7,4.1,69.3,6.8,854.4,151.5,52.1,39.6,81.1,159.7,1.8,1.1,1.1,6.6,25.9,2666,1.91,0.65,8.62
P19_0204,727,yes,9.19917,-79.7741,0-10 cm,6-Dec-17,P19,plot,0.62,0.18,4.86,3.62,0.29,198.59,558,49.4,11.3,0.7,0.9,51,1.6,822.8,21.5,41.3,17.5,29.5,39.4,1.2,0.5,0.4,5.4,25.9,2666,1.91,0.65,17
P19_0303,729,yes,9.19917,-79.7741,0-10 cm,6-Dec-17,P19,plot,0.6,0.14,5.09,4.28,0.34,186.42,627,61.2,10.3,3.3,1.3,65.8,4.6,684,162.6,112.5,51.8,101,155.7,1.7,2.1,1,4.9,25.9,2666,1.91,0.65,14.07
P19_0402,731,yes,9.19917,-79.7741,0-10 cm,6-Dec-17,P19,plot,0.6,0.14,4.91,2.7,0.23,206.96,387,37.3,10.4,0.8,0.1,38.2,0.9,673.2,386,104.7,21.3,185.1,229.1,1.4,1.6,1.3,4.2,25.9,2666,1.91,0.65,16.12
P19_0404,732,yes,9.19917,-79.7741,0-10 cm,6-Dec-17,P19,plot,0.61,0.12,4.91,4,0.34,283.37,400,38.7,10.3,1.2,1.8,41.7,3,666.4,590.9,102.7,36.4,240.7,229.7,1.6,1.2,1.5,6.5,25.9,2666,1.91,0.65,13.77
P20_0202,739,yes,9.19028,-79.7643,0-10 cm,6-Dec-17,P20,plot,0.59,0.86,5.01,3.64,0.33,318.5320101,494.1948375,55.21578076,9,0.841,2.2885,58.34528076,3.1295,770.2,165.6,71.1,83.1,131.5,132.2,1,1.3,0.8,5.6,26.1,2632,1.87,0.65,16.8689465
P20_0204,740,yes,9.19028,-79.7643,0-10 cm,6-Dec-17,P20,plot,0.64,0.27,4.87,3.2,0.3,286.5769728,526.5957447,56.55325508,9.3,0.8295,1.082,58.46475508,1.9115,712.4,120,90.6,48.4,163.1,187.9,0.9,1.1,0.4,4.2,26.1,2632,1.87,0.65,16.18283743
P20_0303,742,yes,9.19028,-79.7643,0-10 cm,6-Dec-17,P20,plot,0.67,0.23,4.76,4.78,0.41,353.8740983,449.9135976,45.19099881,10,2.34,2.242,49.77299881,4.582,576.3,468.8,76.9,73.3,247.6,117.7,1.3,1.3,1.1,5.7,26.1,2632,1.87,0.65,19.17933814
P20_0402,744,yes,9.19028,-79.7643,0-10 cm,6-Dec-17,P20,plot,0.63,0.6,4.64,3.48,0.3,292.3917728,504.9951399,51.90360573,9.7,1.6595,1.5265,55.08960573,3.186,561.4,512.2,99.1,68.4,146.9,182.3,0.8,4.9,2.1,4.4,26.1,2632,1.87,0.65,16.72154889
P20_0404,745,yes,9.19028,-79.7643,0-10 cm,6-Dec-17,P20,plot,0.66,0.36,4.61,4.76,0.41,323.2534896,469.3541419,48.66919355,9.6,2.108,0.997,51.77419355,3.105,540.6,601.8,95,93.3,272.8,164.1,1.4,2.4,1.3,6.4,26.1,2632,1.87,0.65,18.13027744
P21_0202,4,yes,9.1415,-79.6935,0-10 cm,17-Jul-17,P21,plot,0.63,8.81,6.86,9.88,0.93,484,114.321201,8.27,13.8,1.31,11.71,21.29,13.02,664.9,7520.1,89.6,96.4,836.4,35.2,7,8.9,5.5,7.4,26.5,2304,1.6,0.71,25.8
P21_0204,5,yes,9.1415,-79.6935,0-10 cm,17-Jul-17,P21,plot,0.6,2.41,6.26,4.3,0.43,376,68.01490442,0.05,13.8,2.67,0.71,3.43,3.37,816.4,5167,87.4,28,852,22,5.3,0.4,3.7,4.1,26.5,2304,1.6,0.71,19
P21_0303,7,yes,9.1415,-79.6935,0-10 cm,17-Jul-17,P21,plot,0.56,7.49,6.38,3.75,0.36,333,58.91564964,4.53,13,1.26,0.25,6.04,1.51,1051.2,5385.9,55.9,172.1,905.4,10.2,3.7,1.4,3.6,2.2,26.5,2304,1.6,0.71,15.2
P21_0402,9,yes,9.1415,-79.6935,0-10 cm,17-Jul-17,P21,plot,0.59,4.54,6.34,4.06,0.35,367,64.07279404,7.74,8.3,1.04,0.34,9.12,1.38,645.8,4265.4,69.1,66.8,819.2,58.9,3.2,0.7,3.2,2.9,26.5,2304,1.6,0.71,21.4
P21_0404,10,yes,9.1415,-79.6935,0-10 cm,17-Jul-17,P21,plot,0.55,6.91,6.51,5.93,0.53,371,69.47294524,2.02,34.3,1.16,0.78,3.96,1.94,579.2,4238.5,65.8,48.8,555.7,104.2,4.9,0.7,4.6,3.3,26.5,2304,1.6,0.71,17.9
P22_0202,17,yes,9.1479,-79.6931,0-10 cm,17-Jul-17,P22,plot,0.57,5.84,6.34,2.93,0.28,377.5011145,43.895,5.13025,8.6,1.5655,2.8015,9.49725,4.367,780.5,1877.9,141.8,168.7,762.4,100.3,4.3,3.1,1.5,2.8,26.1,2401,1.67,0.71,11.87598529
P22_0204,18,yes,9.1479,-79.6931,0-10 cm,17-Jul-17,P22,plot,0.66,6.62,6.24,3.32,0.29,455.4904367,26.72,1.48275,18,0.8975,3.702,6.08225,4.5995,739.5,2360.2,150.3,69.5,526.6,181.4,3.6,5.4,2.7,3.7,26.1,2401,1.67,0.71,9.777163586
P22_0303,20,yes,9.1479,-79.6931,0-10 cm,17-Jul-17,P22,plot,0.58,2.84,6.66,3,0.3,465.4147439,34.845,2.40775,14.5,0.716,2.596,5.71975,3.312,835.4,2406.8,166.3,68.8,604.1,184.2,4.3,7,2.4,3.3,26.1,2401,1.67,0.71,11.33505599
P22_0402,22,yes,9.1479,-79.6931,0-10 cm,17-Jul-17,P22,plot,0.52,7.9,6.58,5.35,0.48,628.4503259,51.92,3.28875,15.8,1.1285,7.1975,11.61475,8.326,831,2145.1,153.5,170.2,458.4,190.8,6.3,5.5,2.8,6.8,26.1,2401,1.67,0.71,15.14084507
P22_0404,23,yes,9.1479,-79.6931,0-10 cm,17-Jul-17,P22,plot,0.59,3.26,6.35,2.61,0.25,436.2478031,55.42,4.98725,11.1,0.3215,3.3935,8.70225,3.715,701.6,2719.9,197.5,276,935.5,85.7,5.8,6.7,1.8,4.6,26.1,2401,1.67,0.71,10.19283747
P23_0202,55,yes,9.1217,-79.6731,0-10 cm,20-Jul-17,P23,plot,0.58,19.34,6.22,3.43,0.33,1449.322997,40.07,6.80125,5.9,0.2065,4.6125,11.62025,4.819,463.9,4442.7,140,261.6,393.1,60.2,24.5,1.7,6.9,4,26.4,2235,1.54,0.71,12.9543497
P23_0204,56,yes,9.1217,-79.6731,0-10 cm,20-Jul-17,P23,plot,0.57,30.1,6.43,1.49,0.12,1541.153615,34.095,4.28925,7.9,0.7135,2.665,7.66775,3.3785,482.1,4057.6,79.7,343.3,398.2,33.7,49.2,1.7,6.2,1.8,26.4,2235,1.54,0.71,9.125762916
P23_0303,58,yes,9.1217,-79.6731,0-10 cm,20-Jul-17,P23,plot,0.67,25.65,6.07,3.4,0.34,1505.358185,28.07,5.11675,5.5,0.4375,1.7885,7.34275,2.226,452.9,4044,125.2,520.1,565,92.6,36.3,3.5,4.3,2.7,26.4,2235,1.54,0.71,10.41928239
P23_0402,60,yes,9.1217,-79.6731,0-10 cm,20-Jul-17,P23,plot,0.73,57.19,6.59,2.65,0.26,792.6815263,36.795,8.06925,4.6,1.0195,1.484,10.57275,2.5035,533.8,3948.3,119.5,340.8,507.9,58.1,9.8,4.1,4.7,2.7,26.4,2235,1.54,0.71,11.42141254
P23_0404,61,yes,9.1217,-79.6731,0-10 cm,20-Jul-17,P23,plot,0.68,18.52,5.85,2.95,0.29,815.2654092,32.345,5.56725,5.8,0.9165,2.079,8.56275,2.9955,546.3,4264.8,145.4,263.5,558.8,59.3,8.3,4,4.6,2.9,26.4,2235,1.54,0.71,12.15377603
P24_0202,68,yes,9.12372,-79.6767,0-10 cm,20-Jul-17,P24,plot,0.68,4.42,6.23,8.95,0.84,907.998889,47.69,3.958441083,12,1.200251759,5.287307158,10.446,6.487558917,355.5,2207.1,154.2,467.4,959.1,260.3,5.6,5,1.4,10.8,26.5,2216,1.52,0.71,23.0835995
P24_0204,69,yes,9.12372,-79.6767,0-10 cm,20-Jul-17,P24,plot,0.48,4.07,5.96,6.53,0.62,746.4481536,124.215,7.519308172,16.5,1.124802713,4.561889116,13.206,5.686691828,520,1955.5,172,374.2,850.8,244.7,4,6.8,1.4,7.7,26.5,2216,1.52,0.71,18.42947332
P24_0303,71,yes,9.12372,-79.6767,0-10 cm,20-Jul-17,P24,plot,0.57,10.51,6.17,8.43,0.76,900.7931538,43.44,5.023207869,8.6,1.439549216,4.945742915,11.4085,6.385292131,431.8,2544.3,162.5,492.5,1000.8,271.6,6.6,7.9,1.5,9.9,26.5,2216,1.52,0.71,22.26222779
P24_0402,73,yes,9.12372,-79.6767,0-10 cm,20-Jul-17,P24,plot,0.73,4.84,6.04,4.28,0.4,757.8592536,83.515,6.152962552,13.6,0.3575231,1.903014348,8.4135,2.260537448,759.3,3273.4,113,292.9,1521.9,64.2,4.4,2.8,1.3,5.5,26.5,2216,1.52,0.71,16.54840479
P24_0404,74,yes,9.12372,-79.6767,0-10 cm,20-Jul-17,P24,plot,0.62,10.91,5.23,5.01,0.45,1285.032178,81.965,5.849774636,14,1.462121738,3.589103625,10.901,5.051225364,595.8,2273.3,112,290.4,509.4,148,4.6,2.8,2.7,5.1,26.5,2216,1.52,0.71,16.38294928
P25_0202,664,yes,9.07852,-79.7989,0-10 cm,29-Nov-17,P25,plot,0.69,0.04,4.45,2.96,0.19,60.017,398.523,27.1,14.7,0.9,0.7,28.7,1.6,1066.8,47.2,155.7,18.2,97.2,5.3,1.6,0.5,0.3,2.1,26.5,2380,1.66,0.74,9.616
P25_0204,665,yes,9.07852,-79.7989,0-10 cm,29-Nov-17,P25,plot,0.7,0.46,4.59,3.16,0.22,79.31,380.773,26.8,14.2,1.2,2.4,30.4,3.6,1069.2,24.7,119.1,22.2,72,31.9,1.9,1.8,0.2,2.1,26.5,2380,1.66,0.74,10.058
P25_0303,667,yes,9.07852,-79.7989,0-10 cm,29-Nov-17,P25,plot,0.69,0.28,4.57,3.97,0.26,78.697,410.523,28.1,14.6,1.5,2.2,31.8,3.6,1043.9,36.6,242.2,181.4,78.6,21.3,2.3,1.7,0.3,2,26.5,2380,1.66,0.74,11.46
P25_0402,669,yes,9.07852,-79.7989,0-10 cm,29-Nov-17,P25,plot,0.65,0.3,4.55,2.97,0.22,78.745,361.023,29,12.5,1.8,0.8,31.6,2.6,1073.1,29.1,114.3,24.4,137.1,61,2.2,1.2,0.1,2.3,26.5,2380,1.66,0.74,14.561
P25_0404,670,yes,9.07852,-79.7989,0-10 cm,29-Nov-17,P25,plot,0.66,0.28,4.24,3.79,0.26,83.381,354.273,27.9,12.7,3.5,1.7,33.2,5.2,957,34.1,252.9,26.4,113,9.4,2.3,3,0.2,2.2,26.5,2380,1.66,0.74,10.557
P26_0202,677,yes,9.07646,-79.7869,0-10 cm,29-Nov-17,P26,plot,0.65,0.26,4.4,3.79,0.27,79.26612128,325.89,20.51544317,15.9,0.981784459,1.602772371,23.1,2.58455683,1352.9,52,149.2,34.7,65.9,2.2,1.5,0.9,0.5,1.4,26.5,2368,1.64,0.74,10.91531978
P26_0204,678,yes,9.07646,-79.7869,0-10 cm,29-Nov-17,P26,plot,0.7,0.71,4.65,4.32,0.3,94.01198695,323.89,21.10133284,15.3,0.658064608,0.815602552,22.575,1.47366716,1352.8,81.8,116.6,28.6,51.2,2.3,1.5,0.6,1,2.2,26.5,2368,1.64,0.74,11.98831907
P26_0303,680,yes,9.07646,-79.7869,0-10 cm,29-Nov-17,P26,plot,0.68,0.15,4.53,4.03,0.28,99.341077,286.14,19.0806601,15,0.441707945,0.655131959,20.1775,1.096839903,1270,57,154.2,18.1,64.8,3.7,1.4,0.7,0.5,1.7,26.5,2368,1.64,0.74,11.86001738
P26_0402,682,yes,9.07646,-79.7869,0-10 cm,29-Nov-17,P26,plot,0.68,0.21,4.52,3.54,0.27,92.65684763,238.14,15.13612269,15.7,0.300560237,0.460817074,15.8975,0.76137731,1157.3,28.3,176.1,26.2,125.4,1.8,1.5,0.5,0.1,1.6,26.5,2368,1.64,0.74,11.10526405
P26_0404,683,yes,9.07646,-79.7869,0-10 cm,29-Nov-17,P26,plot,0.67,0.12,4.71,3.44,0.27,96.67276516,335.64,24.96743075,13.4,0.694832996,0.737736254,26.4,1.432569251,1329.8,23.1,122.4,19.4,38.9,1.8,1.3,0.6,0.4,1.6,26.5,2368,1.64,0.74,10.64409551
P27_0202,234,yes,9.08048,-79.6451,0-10 cm,23-Aug-17,P27,plot,0.59,7.51,6.44,2.06,0.19,166,39,2.49,15.6,1.43,0.77,4.69,2.2,662.6,3059.5,344.7,179.5,771.9,48.9,5.6,3.5,2.4,4,25.9,2290,1.57,0.7,8.51
P27_0204,235,yes,9.08048,-79.6451,0-10 cm,23-Aug-17,P27,plot,0.47,8.55,7.08,3.12,0.28,689,45,4.74,9.4,2.1,1.01,7.85,3.11,711.5,2061.2,182.9,179.5,427,44.2,6.1,11.2,2.9,4.1,25.9,2290,1.57,0.7,17.64
P27_0303,237,yes,9.08048,-79.6451,0-10 cm,23-Aug-17,P27,plot,0.64,2.41,6.21,2.08,0.18,440,46,2.73,16.7,1.29,1.28,5.3,2.57,654.5,1545,133.7,164.3,639,77.2,3.4,2.1,1.5,3.3,25.9,2290,1.57,0.7,16.21
P27_0402,239,yes,9.08048,-79.6451,0-10 cm,23-Aug-17,P27,plot,0.66,5,6.62,1.91,0.17,171,71,8.51,8.3,1.84,2.6,12.95,4.44,632.2,4209,201.2,176.9,1144.2,83.9,5.7,4.8,2.2,9.6,25.9,2290,1.57,0.7,7.57
P27_0404,240,yes,9.08048,-79.6451,0-10 cm,23-Aug-17,P27,plot,0.67,0.63,6.29,1.28,0.12,394,73,5.96,12.2,1.42,0.26,7.65,1.69,688.9,1032.6,118.6,109,375.5,84.1,2.2,1.6,1.7,1.3,25.9,2290,1.57,0.7,15.53
P28_0202,518,yes,9.08652,-79.6424,0-10 cm,9-Oct-17,P28,plot,0.64,3.88,6.59,4.56,0.37,461,69,9.3,7.4,2.33,3.33,14.96,5.66,693.9,3141.3,248.5,58.4,692,108.2,3.4,5,2.8,5.1,26,2284,1.56,0.7,21.77
P28_0204,519,yes,9.08652,-79.6424,0-10 cm,9-Oct-17,P28,plot,0.6,2.12,6.02,3.77,0.32,304,53,6.06,8.7,2.37,1.88,10.32,4.26,585,2607,246.5,46.4,893.2,94.4,2.4,3.6,1.8,4.6,26,2284,1.56,0.7,19.53
P28_0303,521,yes,9.08652,-79.6424,0-10 cm,9-Oct-17,P28,plot,0.66,2.16,6.33,3.49,0.31,343,61,10.41,5.9,3.73,1.65,15.79,5.37,818.5,1942.3,214.6,110.7,841.3,67.6,2.5,3.9,1.4,5.2,26,2284,1.56,0.7,19.77
P28_0402,523,yes,9.08652,-79.6424,0-10 cm,9-Oct-17,P28,plot,0.64,5.47,6.43,2.31,0.2,332,73,7.43,9.8,1.6,1.32,10.35,2.92,982,2462.3,172.7,44.5,697.9,183.1,2,1.9,2.1,3.1,26,2284,1.56,0.7,17.38
P28_0404,524,yes,9.08652,-79.6424,0-10 cm,9-Oct-17,P28,plot,0.67,2.03,6.87,3.11,0.27,335,109,14.95,7.3,0.87,0.92,16.74,1.79,871.7,1717.8,192.6,110.2,653,119.6,1.9,3.6,1.6,2.9,26,2284,1.56,0.7,17.38
P32_0202,338,yes,9.35583,-79.7269,0-10 cm,6-Sep-17,P32,plot,0.49,0.35,5.89,5.03,0.5,274.5147397,226.9725,24.5015,9.3,2.792,1.8365,29.13,4.6285,1015,1407.7,178.4,65.1,345,203.2,0.9,3.4,2.5,4.9,25,3068,2.26,0.7,19.35997171
P32_0204,339,yes,9.35583,-79.7269,0-10 cm,6-Sep-17,P32,plot,0.49,0.59,5.73,5.76,0.48,342.6083701,299.3225,28.7785,10.4,2.303,2.2235,33.305,4.5265,1037.8,1054.5,187.5,61.6,284.9,141.2,1.8,4.7,2.2,5.2,25,3068,2.26,0.7,20.88529773
P32_0303,341,yes,9.35583,-79.7269,0-10 cm,6-Sep-17,P32,plot,0.58,0.24,6.14,3.59,0.34,273.292168,177.4225,19.484,9.1,1.3135,1.055,21.8525,2.3685,1023.8,1359.9,165.7,49.5,274.4,212.7,0.9,6.8,3,5,25,3068,2.26,0.7,16.98510079
P32_0402,343,yes,9.35583,-79.7269,0-10 cm,6-Sep-17,P32,plot,0.57,0.74,5.77,3.68,0.35,276.9029996,102.4975,11.7185,8.7,2.588,0.901,15.2075,3.489,906.7,2074.6,167.6,71.5,474.7,199,0.9,8.6,2.6,4.9,25,3068,2.26,0.7,17.06760316
P32_0404,344,yes,9.35583,-79.7269,0-10 cm,6-Sep-17,P32,plot,0.57,0.48,5.45,6.27,0.62,387.8085012,173.6975,20.9345,8.3,6.7455,1.225,28.905,7.9705,971.8,1835.5,190.8,49.8,343.4,185.9,1.2,6.5,3.2,6.2,25,3068,2.26,0.7,21.93229901
P40Cha_tr0104,45,yes,9.0895,-79.6733,0-10 cm,19-Jul-17,P40_Charco,transect,0.61,7.13,5.49,3.56,0.33,926.2507203,166.9336055,10.59411861,15.8,1.452140851,0.455671784,12.50193125,1.907812635,1432.7,1635.9,148.4,34.6,903.2,81.9,5.9,10.8,1.1,3.2,26.2,2266,1.58,0.7,17.10409136
P40Cha_tr0105,46,yes,9.0893,-79.673,0-10 cm,19-Jul-17,P40_Charco,transect,0.61,6.39,5.37,4.4,0.39,981.1655405,216.8638658,12.97426725,16.7,3.929844869,1.884539244,18.78865137,5.814384114,1340.2,1960.4,151.7,32.5,796.5,147.8,2.7,2.2,1.5,5.1,26.2,2266,1.58,0.7,16.47135417
P40Cha_tr0202,48,yes,9.0903,-79.6725,0-10 cm,19-Jul-17,P40_Charco,transect,0.54,6.7,4.94,4.85,0.38,442.3703526,219.273813,14.34067364,15.3,2.058904645,1.523102344,17.92268063,3.582006989,1538.9,205.6,151.5,25.2,84.6,122.6,3.3,0.3,1.5,1.1,26.2,2266,1.58,0.7,16.07902319
P40Cha_tr0204,50,yes,9.0905,-79.6727,0-10 cm,19-Jul-17,P40_Charco,transect,0.63,3.17,4.92,4.61,0.39,521.3168837,294.734266,19.28654873,15.3,1.595957914,2.568925887,23.45143254,4.164883802,1735.3,536.3,170.3,38.8,587.4,99.4,3.3,4.2,0.6,1.5,26.2,2266,1.58,0.7,14.96099522
P40Cha_tr0205,51,yes,9.0904,-79.6726,0-10 cm,19-Jul-17,P40_Charco,transect,0.68,3.66,4.81,4.37,0.35,393.7838022,226.1124256,17.07657619,13.2,1.223606149,1.674668722,19.97485106,2.898274871,1568.1,555,113.7,42.7,240.4,134.4,2.3,3,1.4,1.1,26.2,2266,1.58,0.7,13.52767101
P40Cha_tr0304,508,yes,9.08484,-79.66264,0-10 cm,5-Oct-17,P40_Charco,transect,0.62,0.94,5.24,4.37,0.33,317.3052374,151.5459057,14.28036707,10.6,1.641539461,1.075768317,16.99767485,2.717307778,1147.8,960.3,147.9,40.9,214.6,78.5,2.6,2,2.7,2.4,26,2313,1.58,0.7,13.37679359
P40Cha_tr0305,509,yes,9.08491,-79.66258,0-10 cm,5-Oct-17,P40_Charco,transect,0.59,0.29,5.05,3.98,0.3,268.5626901,306.7263719,16.24604141,13.6,1.630002042,1.710616318,19.58665977,3.34061836,1238.1,220.7,161.2,28.9,151.9,35.7,1.8,0.2,0.9,2.2,26,2313,1.58,0.7,13.50510884
P40Cha_tr0502,511,yes,9.08315,-79.66638,0-10 cm,5-Oct-17,P40_Charco,transect,0.7,0.35,4.52,4.25,0.32,426.2520685,264.2204377,22.1805778,11.9,2.632019063,0.302354757,25.11495162,2.93437382,1065.4,35.3,254.3,26.2,28.5,11.1,3.1,0.6,0.7,0.2,26.3,2219,1.53,0.7,12.90736551
P40Cha_tr0504,513,yes,9.08327,-79.66662,0-10 cm,5-Oct-17,P40_Charco,transect,0.76,1.01,5.35,3.31,0.22,363.7486084,204.9760958,16.98478769,12.1,1.820787232,0.234842629,19.04041755,2.055629861,865.9,135.4,170.1,18.8,29.4,15.3,2.8,0.8,2.8,0,26.3,2219,1.53,0.7,10.75127349
P40Cha_tr0505,514,yes,9.08333,-79.66632,0-10 cm,5-Oct-17,P40_Charco,transect,0.7,3.93,5.47,1.94,0.15,489.4353738,174.8370578,11.90639332,14.7,2.868263829,0.082329795,14.85698695,2.950593624,949.9,26.3,183.8,18.6,29.1,47.2,2.4,0,0.5,0.2,26.3,2219,1.53,0.7,8.910006908
Pat_p40_01,533,yes,9.00305,-79.56621,0-10 cm,10-Oct-17,P40_Patacon,transect,0.71,2.79,5.16,6.79,0.44,309.2329715,232.5960813,18.35842235,12.7,1.381362817,2.62481037,22.36459553,4.006173187,1140.5,60.6,302.4,21.8,20,1.6,3.6,0.8,1.8,0.3,26.8,1895,1.25,0.59,17.50140591
Pat_p40_02,534,yes,9.01369,-79.5964,0-10 cm,10-Oct-17,P40_Patacon,transect,0.72,3.42,4.79,8.25,0.54,354.9146979,236.6297901,19.40989964,12.2,2.906934307,3.866788321,26.18362226,6.773722628,1432.5,118.6,274.1,22.4,21.4,3.2,5.2,1,3.4,0.4,26.8,1969,1.31,0.59,19.31177134
Pat_p40_03,535,yes,9.01383,-79.59627,0-10 cm,10-Oct-17,P40_Patacon,transect,0.71,5.36,4.51,7.25,0.51,330.983682,212.7070393,20.34865955,10.5,3.882578792,1.470159597,25.70139794,5.352738388,1372.7,57.3,178.4,19.3,16.5,1.7,3.7,0.6,2.1,0.5,26.8,1969,1.31,0.59,16.9249919
Pat_p40_04,536,yes,9.01384,-79.59626,0-10 cm,10-Oct-17,P40_Patacon,transect,0.71,3.55,4.95,6.25,0.43,313.7380463,180.6539684,16.54060854,10.9,1.606637041,1.926026204,20.07327178,3.532663245,1277.1,95.7,266,32.8,28.6,2,3.9,1.2,2,0.5,26.8,1969,1.31,0.59,15.0969035
Pat_p40_05,537,yes,9.0136,-79.59626,0-10 cm,10-Oct-17,P40_Patacon,transect,0.72,3.32,5.03,6.42,0.43,340.8616811,287.657255,26.88387359,10.7,1.149872131,1.448351398,29.48209712,2.598223529,1343.4,54.9,254.7,30.2,14.4,1.2,4.4,1.2,2.3,0.4,26.8,1969,1.31,0.59,15.04703797
PNT_tr0101,566,yes,9.54503,-79.6027,0-10 cm,19-Oct-17,PortobeloNvoTonosi,transect,0.56,1.13,6.02,1.87,0.18,201,264,22,11.9,2,1,25,3,1429.2,765.2,47.8,48.6,295.9,54.2,0.7,1.1,1.6,2,26.6,3325,2.43,0.62,15
PNT_tr0102,567,yes,9.54503,-79.6027,0-10 cm,19-Oct-17,PortobeloNvoTonosi,transect,0.49,1.07,5.91,4.19,0.38,336,204,21,9.5,4,1,27,6,1557.2,1250.2,125.8,81.9,544.9,107.4,1.6,2.1,1.4,3.7,26.6,3325,2.43,0.62,18
PNT_tr0103,568,yes,9.54503,-79.6027,0-10 cm,19-Oct-17,PortobeloNvoTonosi,transect,0.56,4.24,5.6,3.68,0.36,295,230,23,9.9,2,1,26,2,1283.5,1246.8,98.5,70.3,607.7,125.5,1,3.4,1.2,3.4,26.6,3325,2.43,0.62,17
PNT_tr0104,569,yes,9.54503,-79.6027,0-10 cm,19-Oct-17,PortobeloNvoTonosi,transect,0.56,1.89,6.23,3.12,0.3,345,113,13,8.9,2,0,15,2,1177.2,2100.1,92.6,115.2,808.9,91.2,0.9,1.6,1.6,4.1,26.6,3325,2.43,0.62,16
PNT_tr0105,570,yes,9.54503,-79.6027,0-10 cm,19-Oct-17,PortobeloNvoTonosi,transect,0.54,1.16,5.85,2.28,0.24,401,89,9,9.9,1,1,11,2,1419.3,2797.1,103.6,151,800.9,55.6,0.9,2.1,2.1,3.2,26.6,3325,2.43,0.62,12
PP1_0202,690,yes,8.942767,-79.60234,0-10 cm,30-Nov-17,PanamaPacifico,plot,0.67,0.66,8.05,5.3,0.44,977.82,61.39,7.13,8.6,0.85,3.84,11.82,4.69,661,3359.5,64.3,107,455.7,226.9,3.6,2.6,4.5,4.79,26.5,1979,1.31,0.63,20.87
PP1_0204,691,yes,8.942767,-79.60234,0-10 cm,30-Nov-17,PanamaPacifico,plot,0.73,1.28,6.42,3.6,0.31,837.22,58.07,7.27,8,0.42,2.37,10.06,2.79,724.9,2019.4,71.7,55,262.5,254.1,2.3,0.7,4.7,3.68,26.5,1979,1.31,0.63,16.43
PP1_0303,693,yes,8.942767,-79.60234,0-10 cm,30-Nov-17,PanamaPacifico,plot,0.71,1.37,6.41,2.81,0.24,751.72,62.62,6.53,9.6,0.16,1.38,8.07,1.54,598.9,2000.1,51.3,152.6,237.4,109.2,2.3,1.1,5.1,1.41,26.5,1979,1.31,0.63,16.56
PP1_0402,695,yes,8.942767,-79.60234,0-10 cm,30-Nov-17,PanamaPacifico,plot,0.71,2.01,6.77,3.55,0.3,853.28,46.76,6.36,7.4,0.77,2.68,9.81,3.45,596.2,2691.7,125.2,34.1,501.8,347,2,1.8,3.3,3.57,26.5,1979,1.31,0.63,16.7
PP1_0404,696,yes,8.942767,-79.60234,0-10 cm,30-Nov-17,PanamaPacifico,plot,0.66,2.04,6.99,3.35,0.28,760.8,37.12,4.62,8,0.28,1.76,6.66,2.05,641.5,2173.6,108,30,240.5,263.6,2,2.8,5.5,2.07,26.5,1979,1.31,0.63,16.39
QL_0101,636,yes,9.54503,-79.6027,0-10 cm,1-Nov-17,QuebradaLopez,transect,0.62,0.15,5.23,6.88,0.56,251.5819999,270.4254322,21.8620299,12.4,2.942996417,1.215062304,26.02008862,4.158058721,1281.8,1204.6,97.5,30.2,289.6,89.8,0.8,1.4,2.5,5,26.6,3325,2.43,0.62,23.51164276
QL_0102,637,yes,9.544886,-79.603039,0-10 cm,1-Nov-17,QuebradaLopez,transect,0.57,0.11,5.57,5.32,0.43,209.2335391,226.925496,23.25199672,9.8,5.799948911,2.373101835,31.42504747,8.173050746,824.2,1627.6,116.4,29.5,389.2,148.7,0.6,2,2.5,5.3,26.6,3325,2.43,0.62,20.61899863
QL_0103,638,yes,9.544986,-79.602603,0-10 cm,1-Nov-17,QuebradaLopez,transect,0.56,0.14,5.58,4.85,0.38,204.3077766,262.9751013,29.80872747,8.8,1.927009898,0.991122992,32.72686036,2.91813289,899.6,1140.8,119.7,53.9,242.1,55,0.5,0.9,2.9,4,26.6,3325,2.43,0.62,18.93641064
QL_0104,639,yes,9.544597,-79.602363,0-10 cm,1-Nov-17,QuebradaLopez,transect,0.59,0.9,5.22,6.8,0.54,232.2799331,419.3900716,37.059344,11.3,1.980639919,3.382283929,42.42226785,5.362923848,1045,879.9,128.1,48.7,159.6,36.7,0.7,1.9,3.3,3.8,26.6,3325,2.43,0.62,22.53885563
